study_type,poverty_context,mechanism,behavior,title,date
Observational,Low resource level,"Time preferences, Risk preferences",Investing,Impact of Digital Inclusive Finance on Financing Constraints of Small and Medium-Sized Enterprises Review,2024
"Observational, Cross-sectional","Low resource level, Human capital inputs, Social environment","Aspirations, Self-efficacy",Educational achievement,"Women Autonomy, Nutritional and Immunization Status of their Children",2014
"Observational, Cross-sectional",Low resource level,"Anxiety, Depression, Stress",Crime,The relationship between mental disorders and different types of crime,2011
"Observational, Longitudinal / Panel","Low resource level, Resource volatility, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,"The role of socioeconomic, cultural, and structural factors in daycare attendance among refugee children",2021
"Observational, Systematic review",Social environment,"Anxiety, Stress","Consumption, Exercise",Gender and the ‘New Paradigm’ of Health,2008
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress, Internalized stigma",Crime,ON LOWERING THE AGE OF CRIMINAL RESPONSIBILITY: PERSPECTIVES FROM PHILIPPINE LOCAL GOVERNMENT OFFICIALS,2020
Observational,Low resource level,"Attention, Executive control, Executive function",Educational achievement,Frontal theta activation associated with error detection in toddlers: influence of familial socioeconomic status,2016
"Observational, Difference-in-difference","Low resource level, Resource volatility","Stress, Locus of control","Consumption, Saving",Do Social Protection Transfers Reduce Poverty and Vulnerability to Poverty in Pakistan? Household Level Evidence from Punjab,2018
Difference-in-difference,Low resource level,"Self-efficacy, Happiness",Educational achievement,The resilience-enabling value of African folktales: The read-me-to-resilience intervention,2017
Cross-sectional,"Low resource level, Human capital inputs","Depression, Self esteem",Educational achievement,Lifetime Incidences of Traumatic Events and Mental Health Among Children Affected by HIV/AIDS in Rural China,2009
"Observational, Interviews","Low resource level, Human capital inputs","Aspirations, Locus of control",Educational achievement,Democracy and new ideas in Latin American social policy: the origins of conditional cash transfers in Brazil and Mexico,2018
"Observational, Cross-sectional",Low resource level,Locus of control,Investing,Fundraising Policy Reform and its Impact on Nonprofits in China: A View from the Trenches,2016
Interviews,Human capital inputs,Aspirations,Educational achievement,Democratizing Teacher Education,2014
Observational,"Low resource level, Social environment","Anxiety, Stress","Consumption, Educational achievement",Why Lower Income Mothers Do Not Engage With the Formal Mental Health Care System: Perceived Barriers to Care,2006
Observational,"Low resource level, Physical environment","Anxiety, Stress",Medication adherence,Abstract MP05: The Impact Of Neighborhood Social Environment On Natural Killer Cells In A Community-based Cohort Of African American Women,2022
"Observational, Interviews",Low resource level,"Attention, Anxiety",Medication adherence,Health insurance and access to health care services in developing countries,2014
"Observational, Longitudinal / Panel","Low resource level, Social environment","Aspirations, Self-efficacy","Educational achievement, Parenting",Comparison of high- versus low-intensity community health worker intervention to promote newborn and child health in Northern Nigeria,2013
"Observational, Interviews",Low resource level,"Executive function, Locus of control",Labor Supply,Relational Leadership: Reconceptualizing How School Districts Address Teacher Attrition,2023
"Observational, Cross-sectional",Low resource level,"Attention, Working memory, Memory",Educational achievement,Race and sex differences in the association between lifespan glycemic status and midlife cognitive function: the Bogalusa heart study,2023
"Observational, Difference-in-difference","Low resource level, Resource volatility",Locus of control,Labor Supply,Policing Norwegian Welfare: Disciplining and Differentiating within the Bottom Rungs,2014
Randomized (controlled) trial,"Low resource level, Social environment","Anxiety, Stress, Executive function","Educational achievement, Consumption",Teachers Can Be Trained to Help Students With Complex Trauma,2009
"Observational, Cross-sectional","Low resource level, Social environment","Self-efficacy, Self esteem","Educational achievement, Consumption",Beyond mothers: the crucial role of family caregivers’ knowledge on exclusive breastfeeding in rural western China,2023
"Observational, Interviews",Low resource level,Internalized stigma,Parenting,Exploring the Place of Values in the New Social Work Degree in Scotland,2010
Observational,Low resource level,"Anxiety, Happiness",Medication adherence,Hysterectomy: still a treatment of choice for pelvic pathologies in rural India,2018
Difference-in-difference,Low resource level,Self-efficacy,Medication adherence,The Effect of Performance-Based Financial Incentives on Improving Health Care Provision in Burundi: A Controlled Cohort Study,2014
"Observational, First-hand observations","Low resource level, Social environment","Stress, Aspirations",Family interaction,The Mediatized Interactions and Social Networks of Empty-Nesters: A China-Based Study,2024
"Observational, Interviews",Social environment,"Internalized stigma, Self-efficacy",Educational achievement,Prospective Teachers’ Reflections: Responding to a Call for LGBT-inclusive Classrooms,2008
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Aspirations, Self-efficacy","Labor Supply, Occupational choice",On poverty and the persistence of poverty in Benin,2016
"Observational, Longitudinal / Panel","Low resource level, Social environment","Stress, Locus of control",Occupational choice,Family involvement and R&amp;D expenses in the context of weak property rights protection: an examination of non-state-owned listed companies in China,2016
"Observational, Cross-sectional",Low resource level,Stress,"Consumption, Food diet",Household water insecurity is strongly associated with food insecurity: Evidence from 27 sites in low‐ and middle‐income countries,2019
Cross-sectional,Low resource level,"Anxiety, Stress",Educational achievement,University socialization and the acceptance of anti‐egalitarian ideology: The underlying role of extrinsic life goals,2017
"Observational, Cross-sectional","Low resource level, Resource volatility","Anxiety, Stress","Consumption, Labor Supply",LexDeep: Hybrid Lexicon and Deep Learning Sentiment Analysis Using Twitter for Unemployment-Related Discussions During COVID-19,2023
"Observational, Cross-sectional, Interviews","Low resource level, Social environment",Internalized stigma,Educational achievement,"The Visual Production of Citizenship: Children's Literature of the Works Progress Administration, 1937-1942",2013
"Observational, Cross-sectional",Low resource level,Time preferences,"Consumption, Food diet",TRENDS IN BEHAVIOUR OF MODERN FOOD CONSUMERS IN POLAND,2020
Observational,Low resource level,Stress,"Consumption, Investing",Republic of Belarus: 2009 Article IV Consultation and Second Review Under the Stand-By Arrangement-Staff Report Informational Annex; Staff Statement; Public Information Notice on the Executive Board Discussion; and Press Release,2009
"Observational, Systematic review","Low resource level, Human capital inputs",Internalized stigma,Educational achievement,COVID-19 and the inclusion of learners with disabilities in basic education in South Africa: A critical analysis,2021
"Observational, Case-study",Low resource level,Stress,Crime,Neoliberalism and Capital Accumulation: Media Framing of Resistance and the Global Culture of Fear,2017
"Observational, Interviews","Low resource level, Human capital inputs",Internalized stigma,Educational achievement,The Devolution of the Inner-City High School,2017
"Observational, Interviews, Focus groups","Low resource level, Social environment","Anxiety, Stress, Internalized stigma",Family interaction,"Rejection, acceptance and the spectrum between: understanding male attitudes and experiences towards conflict-related sexual violence in eastern Democratic Republic of Congo",2017
